No.,답변,질문
,이번주비빔밥,전주비빔밥보다 더 싱싱한 것은?
,이별,별 중에 가장 슬픈 별은?
,이보영,치아가 잘 보이는 사람은?
,이보영,지성을 가진 여배우?
,이산가족,정조대왕의 가족은?
,이쑤시개,고기 먹을 때마다 따라오는 개는?
,이유식,유럽인의 식사를 뭐라고 할까?
,"인내심, 조바심","""샤프심 좀 빌려줘""를 3자로?"
,인도,차도가 없는 나라는?
,인도,차도가 없는 나라는?
,인문계,닭이 사람을 물면?
,인삼차,사람이 3명만 들어갈 수 있는 차는?
,인색,거지가 싫어하는 색은?
,인조잔디,명종이 언제 왕이 되었나?
,일간신문,신문이 일하러 가면?
,일본사람,화장실에서 금방 나온 사람은?
,일본원숭이,화장실에 다녀온 원숭이를 5자로?
,일어선 동물,눈사람의 반대말은?
,일요일,앞과 뒤가 똑같은 날은?
,임금노동자,왕이 취직하면?
,임꺽정,사랑하는 사람을 가장 많이 걱정하는 사람은?
,임전무퇴,'임금님 앞에서 침을 뱉으면 안 된다'를 4자로?
,입맞춤,가장 황홀한 춤은?
,입술,가장 달콤한 술은?
,잉카,자동차가 울면?
,잉카,자동차가 우는 나라?
,잉카 문명,차 안에서 시작된 문명은?
,자기양,가장 사랑스러운 양은?
,자동차 뒷바퀴,아무리 빨리 달려도 앞서가지 못하는 것은?
,자동차 운전기사,항상 손님을 뒤에 두고 일하는 사람은?
,자라,다 자랐는데도 자라라고 하는 것은?
,자라,잠꾸러기가 좋아하는 옷 브랜드는?
,자원봉사자,가장 착한 사자는?
,잔머리,자다가 나온 머리카락은?
,잔소리,엄마들이 가장 많이 하는 소리?
,잠자리,신혼부부가 좋아하는 곤충은?
,장갑,다섯은 당기고 다섯은 들어가는 것은?
,장구,짱구가 ㅈ을 떼면?
,장기판,포장마차를 가장 많이 볼 수 있는 곳은?
,장모,"1, 2, 3위보다 4위를 좋아하는 사람은?"
,잽싸게,오줌을 잘 싸는 사람은 오줌싸개이다
,저 무임 승차할게요,단무지가 버스 탈 때 돈 안내면서 하는 말?
,저금,금이 자기소개를 할 때?
,저승사자,죽은 사람이 부동산 투자를 할 때 하는 말?
,전 부처먹기 때문,부침개를 먹으면 살이 찌는 이유는?
,전과자,과자가 감옥에서 출소 후 자기소개를 하면?
,전구,'나는 9입니다'를 2자로?
,전남친이 장기하니까,아이유가 바둑은 보는데 장기를 안 보는 이유는?
,전라남도,벌거벗은 남자를 그린 그림은?
,전세 계약 사기,세상의 모든 약을 구매하면?
,전역,군인이 가장 좋아하는 역은?
,전주,노래 시작하기 전에 들리는 도시는?
,절뚝,절에서 뼈가 부러지면?
,절로가,스님이 택시를 타고 한 말은?
,정삼각,정삼각형의 동생 이름은?
,조류보호협회,새치기를 싫어하는 단체는?
,조용필,소리 없이 글을 쓰는 사람은?
,종말,사람들이 가장 무서워하는 말은?
,종이 하악,노예가 갑자기 놀라면?
,좌절,앉아서 절하면?
,주검,칼이 죽으면?
,주근깨,깨가 죽으면?
,주말,사람들이 좋아하고 기다리는 말은?
,주머니,동물원이 번 돈은?
,주무소,잠자는 소는?
,주사위,얼굴은 여섯이고 눈은 21인 것은?
,주책,읽을 수 없는 책은?
,주춤주춤,"친구들과 술집에 가서, 계산할 때 추는 춤은?"
,줄다리기,앞으로 나가면 지고 뒤로 물러나면 이기는 것은?
,중고차,중학생과 고등학생이 타는 차는?
,중국집 쉬는 날,울면 안되는 날은?
,중도하차,스님이 중간에 내리면?
,중앙대,스님들이 못 가는 대학교는?
,중환자실,스님들만 사용하는 병실은?
,쥐포,쥐가 네 마리 모이면?
,지구,이별은?
,지구온난화,나나가 지구에 왔다를 다른 말로?
,지성,항상 미안해하는 연예인은?
,지우 개니까,연필로 잘못 썼을 때 피카츄로 지우면 되는 이유는?
,지지배,종달새 수컷이 암컷을 부르는 말은?
,지침서,가장 읽기 힘든 책은?
,진절머리나,생강에 발모제를 바르면?
,진짜 휘발유,가짜 휘발유를 만들 때 가장 많이 들어가는 재료는?
,짐볼,왕이 가진 공은?
,짐볼,공이 무거우면?
,집중력이 상승하니까,집에서 집중을 하면 몸이 무거워지는 이유는?
,짜왕,왕에게 소금을 뿌리면?
,짜임새,새를 비틀어서 짜면?
,차 가운데,자동차에서 제일 시원한 자리는?
,참새,진짜 새는?
,참외,외로운 사람들이 먹지 않는 과일은?
,창피해,'창이 날라오니까 피해'를 3자로?
,천방지축어리둥절,짱구가 다니는 절 이름은
,천일염,소금의 유통기한은?
,천장,앉으면 높아지고 서면 낮아지는 것은?
,철들 때,사람의 몸무게가 가장 많이 나갈 때는?
,철물점 주인,못 팔고도 돈 번 사람은?
,철종,체중이 가장 많았던 조선 왕은?
,첩첩산중,결혼한 스님이 여자 두 명하고 또 결혼하면?
,청소년,청소하는 어린 여자를 3자로?
,청소년,청소하는 아가씨를 3자로?
,체리블로썸,'체리야'하고 부르자 대답하길?
,체어맨,의자왕이 탔던 차는?
,초고추장,고추장보다 높은 사람은?
,초인종,가장 뛰어난 능력을 가진 노예는?
,최저임금,가장 가난한 왕은?
,추워,겨울에 일어나는 전쟁은?
,추적 60분,비가 1시간 동안 내리면?
,충돌,곤충끼리 부딪히면?
,치과의사,매일 이상한 것을 보는 사람은?
,치약,입에 넣고 삼키지 않고 뱉는 약은?
,치약,아프지도 않는데 매일 집에서 쓰는 약은?
,친자확인,차가 치고 갔을 때 가장 먼저 해야 할 일은?
,칡칡폭폭,칡을 캐서 폭포에서 닦으면?
,침묵,먹지 못하는 묵은?
,칫솔,소나무가 삐지면?
,카네이션,자동차의 나라를 영어로?
,카놀라유,차가 다니는 도로에 갑자기 사람이 뛰어들면?
,카톡,자동차를 톡하고 치면?
,카푸치노,곰돌이 푸가 차에 치이면?
,칼칼,가장 매운 칼은?
,캔버스,미술학과 학생들이 타고 다니는 버스는?
,캡사이신,캡틴 2명 사이에 토르가 있으면?
,커용,자가용의 반대말은?
,커피,사람이 즐겨 먹는 피는?
,컴퍼스,한쪽 발은 가만있고 다른 발만 돌아다니는 것은?
,케냐,광부가 가장 많은 나라는?
,코스닥,사람 웃기기도 하고 울리기도 하는 닭은?
,코오롱스포츠,코가 긴 사람들이 하는 스포츠는?
,코쿤캅,세상에서 가장 코가 큰 경찰은?
,콘돌리자 라이스,옥수수를 돌려서 밥을 만드는 외국인은?
,콘돔,옥수수가 돌면?
,콘테스트,옥수수가 시험을 보는 것을 4자로?
,콘테스트,옥수수가 시험을 보면?
,콜로세움,전화로 세운 건물은?
,콩나물,팥이 목마를 때 콩에 하는 말은?
,콩나물 무침,콩나물이 무를 때리면?
,쿠킹,왕이 요리를 하면?
,쿵푸,아기곰 푸가 넘어지면?
,클릭 비,가수 비를 누른 가수는?
,키씽유,소녀시대가 차에 넣는 기름은?
,키위,키보다 크면?
,킹받네,왕위계승을 3글자로?
,킹콩,왕이 넘어지면?
,타당,논리적인 사람이 총 쏘면?
,타이거,호랑이가 운전 중에 토끼를 보고 한 말은?
,타이거 우즈,호랑이가 사는 숲은 영어로?
,탄소,소가 불에 타면?
,탕비실,비실이를 총으로 쏘면?
,태양초고추장,초고추장보다 높은 사람은?
,태평양,지구에서 가장 큰 여자를 뭐라고 부르나?
,털레털레,도둑질하러 가는 걸음걸이를 4자로?
,테이프,테이가 침을 뱉으면?
,토론,땅에서 대화를 하면?
,퇴학,학이 침을 뱉으면?
,투우,소가 두 마리면?
,틀아이앵글,노인이 사물을 보는 각도는?
,틈새,공사판에서 제일 싫어하는 새는?
,티 없이 아름다움,뷰티풀에서 T를 빼면?
,티격태격,티파니와 태연이 싸우면?
,파스타,파스에 불이 붙으면?
,팔라우,북한 사람들이 제일 좋아하는 여행지는?
,팔자,사자의 천적은?
,패스트푸드,식인종이 우사인 볼트를 보면?
,패티김,햄버거 속 고기에 김을 뿌리는 것을 3자로?
,팬썰,연필에 눈이 묻으면?
,팽이,자꾸 맞아야 사는 것은?
,페이스북,숨을 쉴 수 있는 책은?
,페트병,애완동물이 잘 걸리는 병은?
,편도염,의사: 어떻게 오셨나요?
,포그바,안개로 만든 아이스크림은?
,포도당,포도가 자기소개하면?
,포도주,4가 도망가면?
,포스틱,막대기가 4개면?
,포켓몬스터,네 마리의 고양이가 괴물이 되면?
,푸드득,길 가다가 음식을 주운 것을 3자로?
,풋볼,공이 웃으면?
,프라이드 치킨,닭이 자부심은 느끼면?
,플러스가 덧셈,플러스와 마이너스가 싸우면 누가 이김?
,피구왕 통키,통키가 담배 피우려고 할 때 친구가 하는 말?
,피까,피카츄가 담배를 피기 전에 하는 말?
,피도 눈물도 없는 사람,드라큘라가 가장 싫어하는 사람은?
,피로회복제,흡혈귀가 제일 좋아하는 음료수는?
,피식,피가 아프면?
,피자,다리미가 좋아하는 음식은?
,피자집,담배 골초들이 좋아하는 음식점은?
,피카소,소가 그림을 그리면?
,하의 하의,바지가 인사를 하면?
,하이라이스,인사성이 밝은 밥은?
,하이에나,높은 곳에서 새끼를 낳는 동물은?
,하이킥,'웃으면서 인사하다'를 3자로?
,하이파이브,안녕을 5번 말하면?
,하프,악기 중에 절반만 연주되는 악기는?
,한 남자가 있어~,한국 남성들이 대중교통을 잘 이용하지 않는 이유는?
,한 요강에 동시에 소변보기,"남자 2명이 하기는 쉽고, 남녀가 함께 하기는 약간 어렵고, 여자 2명이 하기는 불가능한 것은?"
,한우 물만 꾸준히 팜,설렁탕 집이 성공한 이유는?
,할머니,할아버지가 제일 좋아하는 돈은?
,합기도,출전한 선수 모두가 기도를 드리고 시작하는 운동경기는?
,항상 서 있는 남자,바람난 여자가 제일 좋아하는 남자는?
,해리포터,태양을 취재하는 사람은?
,해수욕,바닷가에서 해도 되는 욕은?
,해시계,낮에만 가는 시계는?
,해외직구,메이저리그에서 던지는 공은?
,해운대,해가 울었던 장소는?
,핸섬가이,잘생긴 가위는?
,허수,허수아비의 아들 이름은?
,헐레벌떡,가장 빨리 만들어지는 떡은?
,헝가리,굶는 사람이 많은 나라는?
,헤드셋,머리 세팅을 다른 말로?
,헬로키티,고양이가 죽어서 지옥에 가면?
,형광팬,형을 정말 좋아하는 동생은?
,형편없다,형과 동생이 싸우는데 형의 편을 들어주는 사람이 없으면?
,호떡,날씬해지는 떡은?
,호빵,날씬해지는 빵은?
,호의호식,호랑이가 가장 좋아하는 생활은?
,호주,술을 좋아하는 사람들이 모인 도시는?
,혼돈,돼지가 헷갈리면?
,홀짝홀짝,도박중독자들이 물을 어떻게 마실까?
,홍길동전,붉은 길에 떨어져 있는 동전은?
,홍씨,성씨 중에서 가장 달콤한 성씨는?
,홍콩,가장 큰 콩은?
,화상전화,가장 뜨거운 전화는?
,화성,우리나라에서 가장 멀리 있는 도시는?
,확실히 더워,아마추어의 반대말은?
,환경미화원,비로서 인정을 받은 사람은?
,황진이,지니가 노란색이 되면?
,회오리,오리를 생으로 먹으면?
,회전문,회를 가장 잘 뜨는 곳은?
,회전체의 부피를 구함,횟집에서 회를 쌓아두고 부피를 구하면?
,후다닥,가장 빠른 닭은?
,후유증,자꾸 네가 누군지 묻는 병은?
,휴일,사람들이 가장 좋아하는 일은?
,흙흙,땅 울 때 내는 소리는?
,흥부새끼 십새끼,흥부 자식이 10명이 있는 것을 다른 말로?
,흰머리,시간이 갈수록 환해지는 것은?
,히죽,먹으면 저절로 웃게 되는 죽은?
,힐링,아픈 사람이 바라는 반지는?
